ID,Notes
93,"Decomposed organic layer, no texture from 0-7 cm. Bedrock at 34 cm."
94,NA
95,Bedrock at 45 cm. Extrememly rocky
96,NA
97,NA
98,Bedrock at 30cm. Extremley rocky.
99,NA
100,Bedrock at 57 cm.
101,Bedrock at 35 cm.
102,NA
103,Bedrock at 45 cm.
104,NA
105,NA
106,Bedrock at 40 cm.
107,NA
108,NA
109,48 cm to bedrock
110,NA
111,NA
112,missed coordinates; 2m sw of centre
113,Extremely rocky soil. Could not dig past 16 cm. 2 pits attempted
114,"Large rocks after 50cm, impassable. Charcoal present at 36cm"
115,Rock layer at 65 cm
116,rocky layer at 45cm
117,Crazy rocky at 43 cm
118,NA
119,"Extremely rocky soil, could not progress past 48 cm"
120,Rocky layer prohibited digging to depth
121,NA
122,NA
123,Hit bedrock at 4 cm down.
124,55 cm to BR
125,calcic layer at 42cm
126,Extremely rocky pit.  Unpassable rocks at 28cm
127,NA
128,"Attempted to dig 3 pits at plot center, each had a solid bedrock layer at around 10 cm. Recorded third pit and it had a depth of 11 cm."
129,NA
130,NA
131,Rocky layer prohibited digging to depth
132,Extremely rocky - impermeable past 35 cm (fully rock). HCl bottle exploded in bag so could not record eff.
133,NA
134,NA
135,NA
136,Very much like Parachute Series. Horizon 2 was very cobbly.
137,Resembles Northwater loam but Horizon 2 was not channery
138,More similar to Cushman in the Cushman-Lazear stony loams
139,Too rocky to dig to depth
140,Too rocky to proceed past 1' 8.
141,Hit bedrock at 40cm
142,"Could not dig past 66 cm, solid, platy soil"
143,NA
144,Too rocky to proceed past 15in
145,NA
146,duffy a horizon
147,NA
148,52 to bedrock
149,42cm to BR
150,This soil profile did not match any of the suggested typical profiles.
151,Hit bedrock @ 30cm
152,Bedrock hit at 42 cm; stones and cobble sized bits of sandstone broken up and removed removed through digging process
153,Hit bedrock at 33cm
154,NA
155,NA
156,NA
157,Hit bedrock at 30 cm
158,"Top layer is litter, horizon 2 is soft and not compacted, horizon 3 has small roots, horizon 4 has bigger roots, horizon 5 caliche nodules begin and grow very abundant past 64cm"
159,"We dug our soil pit near plot center. This site was an oak shrub site that had many rim rock areas between the oak stands. Around 34 cm, we encountered clay loam and weathered rock. Eventually, we hit bedrock at 45 cm."
160,Deep soil pit comprised of Silt Loam. The B3 layer differed from the other B layers in terms of gravel percentage.
161,NA
162,NA
163,NA
164,Bedrock at 42 cm.
165,NA
166,NA
167,NA
168,NA
169,NA
170,NA
171,Bedrock at 43 cm.
172,Hit bedrock at 64 cm.
173,Bedrock at 23 cm.
174,NA
175,"B3 was weathered rock (like a C Layer), then B4 went back to a clay layer."
176,"Tried to dig two toher soil pits, but there was bedrock a few inches down. We found a suitable spot where we could actually dig a deeper soil pit. Bedrock at 44 cm."
177,Very shallow soil pit.
178,Bedrock at 30 cm.
179,NA
180,Bedrock at 12 cm.
181,Bedrock at 53 cm.
182,Horizon A had 3% biological crust left as a debris fragment %.
183,Bedrock is at 21 cm.
184,NA
185,C1 and C2- Clastic Material and weathered rock. C3 was weathered sandstone.
186,Plot domimated by pinyon-juniper rather than conifer. 
187,NA
188,NA
189,NA
190,NA
191,NA
192,NA
193,NA
194,NA
195,NA
196,NA
197,ESD: Conifer woodland Johnston key: fd13d
198,Johnston Key: FD19B ESD:Conifer Forest
199,Johnston Key: FD11A ESD: Conifer Woodland
200,"ESD: Aspen forest, plot was slightly over 50% slope. First horizon decomposed plant material.  Johnston key FD 11 B , but with a few lodgepoles more just adjacent to the plot."
201,NA
202,NA
203,NA
204,NA
205,NA
206,"Plot lies within PhF map unit component, but soil pit results do not fit well into the description of anything nearby.  There was little gravel or stones in soil column and the texture was found to be loam to clay loam.  The horizons looked fairly uniform. The first horizon was decomposed plant material. Also, plant roots were found down to at least 60 cm.  Johnston Ecological Type: SB1 B"
207,"Lies within St Stony outcrop MUC. Was very difficult to dig soil pit, tried in two locations. The soil pit was going through what looked like weathered bedrock and which makes sense as we are surrounded by rocky outcrops. I got to 40 cm and the texture fit okay within Ruby gravelly sandy loam, but the slope was higher than given in the description of RuE.  No ESD given for RuE, But i would say fits a dry mountain loam profile.
Johnston:GA1 D fits best although some grass species in this description are absent."
208,NA
209,NA
210,NA
211,Loam soil with little bits of clay granules. Never hit the channery clay that is in the typical profile at 25 inch depth.
212,60cm onward is weathered bedrock. 
213,NA
214,NA
215,Weathered sand stone ubiquetous
216,Very calciferous soils. Surface littered with gravel.
217,Exposed bedrock in some areas on plot
218,NA
219,NA
220,"There is an error with the clay percentbof silt loam, horizon 1 has a lower clay percentage than recorded."
221,NA
222,NA
223,NA
224,NA
225,Clay percentage recorded for horizon 1 is incorrect due to an error in the clay percent range of silt loam.
226,NA
227,NA
228,NA
229,NA
230,NA
231,NA
232,NA
233,NA
234,NA
234,NA
234,NA
234,NA
234,NA
234,NA
234,NA
234,NA
234,NA
234,NA
234,NA
234,NA
234,NA
234,NA
234,NA
234,NA
234,NA
